UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2021,30,4719075,2398892,2320183,1739047,1657852,376640,376018,35605,32836,169642,174401,7661,7007,70297,72069,1800091,1720577,406415,408488,57568,54635,197488,202340,14824,14079,1892474,1851761,1297678,1251103,349776,350022,20051,19231,164415,169102,5550,5205,55004,57098,1345277,1300699,372670,375551,35188,34508,188169,192825,11143,10803,506418,468422,441369,406749,26864,25996,15554,13605,5227,5299,2111,1802,15293,14971,454814,419878,33745,32937,22380,20127,9319,9515,3681,3276
R,7,2021,31,4733833,2403896,2329937,1750494,1667906,370942,374731,35247,32204,173633,179647,7837,7135,65743,68314,1807757,1727450,398054,404843,55693,53278,200171,206091,14545,13811,1898654,1868353,1309428,1267118,344370,348593,19535,18943,168387,174498,5606,5334,51328,53867,1353963,1313922,365024,371967,33619,33621,191061,197074,10863,10610,505242,461584,441066,400788,26572,26138,15712,13261,5246,5149,2231,1801,14415,14447,453794,413528,33030,32876,22074,19657,9110,9017,3682,3201
R,7,2021,32,4598979,2336595,2262384,1709094,1621054,349798,357177,34074,30605,174629,182834,7650,6819,61350,63895,1762493,1676587,374639,384864,53569,50272,199350,208106,13916,13187,1849253,1821331,1283535,1237688,324341,332165,18600,17928,169634,177745,5616,5142,47527,50663,1324774,1281566,342880,353722,31816,31749,190766,199452,10571,10185,487342,441053,425559,383366,25457,25012,15474,12677,4995,5089,2034,1677,13823,13232,437719,395021,31759,31142,21753,18523,8584,8654,3345,3002
R,7,2021,33,4517190,2293753,2223437,1693910,1607583,329334,338616,33631,30100,170959,179562,7670,6773,58249,60803,1744411,1660495,352254,364717,52049,48928,194966,203678,13875,12903,1805340,1785935,1266145,1226852,304837,314166,17987,17313,166130,174772,5537,5106,44704,47726,1304744,1268314,321693,334062,30234,30381,186639,195414,10378,9990,488413,437502,427765,380731,24497,24450,15644,12787,4829,4790,2133,1667,13545,13077,439667,392181,30561,30655,21815,18547,8327,8264,3497,2913
R,7,2021,34,4465912,2271546,2194366,1690214,1594325,317387,328102,32648,29224,168816,177229,7561,6715,54920,58771,1737885,1645481,338971,353018,50443,47913,191278,200501,13308,12547,1787348,1760495,1264943,1216207,293668,304163,17380,16756,163998,172585,5420,4968,41939,45816,1301115,1255946,309347,323012,29228,29636,183218,192514,9996,9577,484198,433871,425271,378118,23719,23939,15268,12468,4818,4644,2141,1747,12981,12955,436770,389535,29624,30006,21215,18277,8060,7987,3312,2970
R,7,2021,35,4474477,2277155,2197322,1704058,1605035,310224,322867,32357,29095,169337,177494,7671,6788,53508,56043,1750412,1653495,330704,346176,49960,47390,191239,199736,13514,12560,1788433,1763311,1274454,1226092,286477,299032,16693,16451,164545,172945,5484,5127,40780,43664,1309602,1263676,301223,316628,28409,29227,183231,191905,10105,9729,488722,434011,429604,378943,23747,23835,15664,12644,4792,4549,2187,1661,12728,12379,440810,389819,29481,29548,21551,18163,8008,7831,3409,2831
R,7,2021,36,4471983,2272570,2199413,1707134,1609727,305848,319683,31674,28858,168893,179260,7561,6692,51460,55193,1751694,1657530,325190,341926,48975,47196,189983,201480,13267,12463,1784807,1765525,1277695,1230696,282740,296008,16261,16297,164148,174779,5348,5053,38615,42692,1310872,1267498,296355,312405,27603,29022,182051,193791,9826,9627,487763,433888,429439,379031,23108,23675,15413,12561,4745,4481,2213,1639,12845,12501,440822,390032,28835,29521,21372,18174,7932,7689,3441,2836
R,7,2021,37,4378104,2220789,2157315,1670420,1579313,293496,310673,31288,28429,168894,179005,7285,6531,49406,53364,1713123,1625442,311879,331602,48149,46506,189273,200806,12745,12258,1744445,1728649,1250737,1204234,271154,287860,16017,15915,164147,174689,5210,4851,37180,41100,1282658,1239593,284104,303161,27154,28426,181458,193227,9490,9391,476344,428666,419683,375079,22342,22813,15271,12514,4747,4316,2075,1680,12226,12264,430465,385849,27775,28441,20995,18080,7815,7579,3255,2867
R,7,2021,38,4443690,2252485,2191205,1700028,1607314,296192,315132,31891,28970,167187,179556,7369,6749,49818,53484,1743135,1653371,314525,336032,48994,47473,187628,201172,12891,12535,1768588,1754076,1273116,1225399,273827,291325,16176,16115,162503,175100,5296,5049,37670,41088,1305458,1260597,286744,306556,27650,28889,179866,193507,9652,9619,483897,437129,426912,381915,22365,23807,15715,12855,4684,4456,2073,1700,12148,12396,437677,392774,27781,29476,21344,18584,7762,7665,3239,2916
R,7,2021,39,4438749,2248074,2190675,1701067,1609534,294697,315490,31377,28271,165078,178603,7395,6643,48460,52134,1742946,1654365,312433,336081,48478,46572,184698,199380,12843,12252,1764787,1750951,1274686,1224382,272245,292017,15921,15458,160401,174013,5288,4898,36246,40183,1305745,1258758,284640,307127,27248,28207,176897,191685,9566,9361,483287,439724,426381,385152,22452,23473,15456,12813,4677,4590,2107,1745,12214,11951,437201,395607,27793,28954,21230,18365,7801,7695,3277,2891
R,7,2021,40,4377192,2215650,2161542,1683483,1592362,290655,312434,30433,28120,156302,171451,7154,6201,47623,50974,1724424,1636307,308071,332680,47385,46065,175555,191466,12532,11676,1741365,1728404,1264576,1213073,268988,289212,15301,15593,151614,166972,5100,4543,35786,39011,1295120,1246488,281190,303879,26631,28018,167911,184011,9319,8940,474285,433138,418907,379289,21667,23222,15132,12527,4688,4479,2054,1658,11837,11963,429304,389819,26881,28801,20754,18047,7644,7455,3213,2736
R,7,2021,41,4359224,2204855,2154369,1671854,1582369,294973,317736,30703,27962,153709,169612,7129,6413,46487,50277,1711893,1625576,311951,337676,47829,45986,172181,189280,12442,11902,1726242,1721317,1249678,1202962,272913,294567,15345,15476,149021,165178,4959,4783,34326,38351,1278999,1235657,284569,308951,26652,28021,164387,181809,9121,9142,478613,433052,422176,379407,22060,23169,15358,12486,4688,4434,2170,1630,12161,11926,432894,389919,27382,28725,21177,17965,7794,7471,3321,2760
R,7,2021,42,4179929,2107889,2072040,1601907,1523299,278933,304573,28814,26322,148360,164795,6365,5888,43510,47163,1639325,1563787,294740,323023,44721,43353,165692,183315,11366,10972,1661302,1659144,1207177,1161778,258433,282301,14729,14390,144123,160596,4495,4337,32345,35742,1234733,1192245,269307,295382,25264,26144,158750,176275,8423,8382,446587,412896,394730,361521,20500,22272,14085,11932,4237,4199,1870,1551,11165,11421,404592,371542,25433,27641,19457,17209,6942,7040,2943,2590
R,7,2021,43,4086179,2058918,2027261,1572779,1497410,267798,293118,27860,26134,142748,159665,6111,5561,41622,45373,1608434,1536152,282686,310715,43304,42897,159468,177514,10653,10379,1616784,1617296,1180881,1137420,248061,271763,14143,14282,138598,155395,4369,4125,30732,34311,1206908,1166458,258228,284197,24370,25883,152581,170529,7921,7978,442134,409965,391898,359990,19737,21355,13717,11852,4150,4270,1742,1436,10890,11062,401526,369694,24458,26518,18934,17014,6887,6985,2732,2401
R,7,2021,44,4035718,2028286,2007432,1550621,1482849,262363,289804,27808,25745,141611,159584,5975,5590,39908,43860,1584952,1520190,276544,306578,42895,42217,157408,176857,10447,10390,1594497,1599428,1165763,1123574,243407,268778,14338,14413,137329,155429,4218,4089,29442,33145,1190791,1151546,252927,280608,24474,25886,150535,169941,7693,7876,433789,408004,384858,359275,18956,21026,13470,11332,4282,4155,1757,1501,10466,10715,394161,368644,23617,25970,18421,16331,6873,6916,2754,2514
R,7,2021,45,3899550,1960347,1939203,1496531,1433479,251285,277093,26785,24713,142002,157730,5548,5266,38196,40922,1529366,1468236,264420,292568,41388,40363,157332,173922,9897,9673,1537686,1539776,1120820,1081008,233079,256768,13646,13517,137975,153627,3999,3854,28167,31002,1144762,1107096,241815,267663,23440,24478,150868,167297,7398,7364,422661,399427,375711,352471,18206,20325,13139,11196,4027,4103,1549,1412,10029,9920,384604,361140,22605,24905,17948,15885,6464,6625,2499,2309
R,7,2021,46,3945151,1982268,1962883,1517709,1455421,252776,279672,26432,24816,143795,158520,5699,5056,35857,39398,1548171,1488809,265049,294264,40487,39995,158151,174217,9829,9244,1564701,1567758,1144827,1105170,235514,260540,13511,13725,139826,154587,4141,3746,26882,29990,1167403,1130310,243952,270770,23089,24372,152037,168013,7429,7086,417567,395125,372882,350251,17262,19132,12921,11091,3969,3933,1558,1310,8975,9408,380768,358499,21097,23494,17398,15623,6114,6204,2400,2158
R,7,2021,47,3870578,1943240,1927338,1488857,1429983,246210,273837,26012,24102,142527,156584,5229,5000,34405,37832,1518066,1461872,257839,287790,39629,38885,156372,171619,9226,9107,1540756,1542664,1128488,1087952,230013,255504,13351,13498,138938,152872,3852,3705,26114,29133,1150442,1112231,238033,265493,22826,24098,150811,165776,7070,7001,402484,384674,360369,342031,16197,18333,12661,10604,3589,3712,1377,1295,8291,8699,367624,349641,19806,22297,16803,14787,5561,5843,2156,2106
